"","mu","N","theta","c","comp","n","probWTSoft","G"
"2",1e-07,10000,0.001,0.15,0.1,100,0,100
"3",1e-06,10000,0.01,0.15,0.1,100,0.001,100
"4",1e-05,10000,0.1,0.15,0.1,100,0.062,100
"5",1e-04,10000,1,0.15,0.1,100,0.83,100
"6",0.001,10000,10,0.15,0.1,100,1,100
"7",1e-07,10000,0.001,0.15,0.2,100,0,100
"8",1e-06,10000,0.01,0.15,0.2,100,0.001,100
"9",1e-05,10000,0.1,0.15,0.2,100,0.12,100
"10",1e-04,10000,1,0.15,0.2,100,0.881,100
"11",0.001,10000,10,0.15,0.2,100,1,100
"12",1e-07,10000,0.001,0.15,0.5,100,0,100
"13",1e-06,10000,0.01,0.15,0.5,100,0.002,100
"14",1e-05,10000,0.1,0.15,0.5,100,0.213,100
"15",1e-04,10000,1,0.15,0.5,100,0.982,100
"16",0.001,10000,10,0.15,0.5,100,1,100
"17",1e-07,10000,0.001,0.15,0.8,100,0,100
"18",1e-06,10000,0.01,0.15,0.8,100,0.001,100
"19",1e-05,10000,0.1,0.15,0.8,100,0.163,100
"20",1e-04,10000,1,0.15,0.8,100,0.944,100
"21",0.001,10000,10,0.15,0.8,100,0.994,100
"22",1e-07,10000,0.001,0.15,0.5,25,0,100
"23",1e-06,10000,0.01,0.15,0.5,25,0.005,100
"24",1e-05,10000,0.1,0.15,0.5,25,0.222,100
"25",1e-04,10000,1,0.15,0.5,25,0.934,100
"26",0.001,10000,10,0.15,0.5,25,1,100
"27",1e-07,10000,0.001,0.15,0.5,50,0,100
"28",1e-06,10000,0.01,0.15,0.5,50,0.002,100
"29",1e-05,10000,0.1,0.15,0.5,50,0.3,100
"30",1e-04,10000,1,0.15,0.5,50,0.988,100
"31",0.001,10000,10,0.15,0.5,50,1,100
"32",1e-07,10000,0.001,0.15,0.5,200,0,100
"33",1e-06,10000,0.01,0.15,0.5,200,0.009,100
"34",1e-05,10000,0.1,0.15,0.5,200,0.385,100
"35",1e-04,10000,1,0.15,0.5,200,0.982,100
"36",0.001,10000,10,0.15,0.5,200,0.998,100
"37",1e-07,10000,0.001,0.15,0.1,100,0,500
"38",1e-06,10000,0.01,0.15,0.1,100,0.012,500
"39",1e-05,10000,0.1,0.15,0.1,100,0.081,500
"40",1e-04,10000,1,0.15,0.1,100,0.58,500
"41",0.001,10000,10,0.15,0.1,100,1,500
"42",1e-07,10000,0.001,0.15,0.2,100,0,500
"43",1e-06,10000,0.01,0.15,0.2,100,0.01,500
"44",1e-05,10000,0.1,0.15,0.2,100,0.105,500
"45",1e-04,10000,1,0.15,0.2,100,0.62,500
"46",0.001,10000,10,0.15,0.2,100,1,500
"47",1e-07,10000,0.001,0.15,0.5,100,0,500
"48",1e-06,10000,0.01,0.15,0.5,100,0.001,500
"49",1e-05,10000,0.1,0.15,0.5,100,0.154,500
"50",1e-04,10000,1,0.15,0.5,100,0.832,500
"51",0.001,10000,10,0.15,0.5,100,1,500
"52",1e-07,10000,0.001,0.15,0.8,100,0,500
"53",1e-06,10000,0.01,0.15,0.8,100,0.003,500
"54",1e-05,10000,0.1,0.15,0.8,100,0.161,500
"55",1e-04,10000,1,0.15,0.8,100,0.925,500
"56",0.001,10000,10,0.15,0.8,100,0.979,500
"57",1e-07,10000,0.001,0.15,0.5,25,0,500
"58",1e-06,10000,0.01,0.15,0.5,25,0.013,500
"59",1e-05,10000,0.1,0.15,0.5,25,0.178,500
"60",1e-04,10000,1,0.15,0.5,25,0.703,500
"61",0.001,10000,10,0.15,0.5,25,1,500
"62",1e-07,10000,0.001,0.15,0.5,50,0,500
"63",1e-06,10000,0.01,0.15,0.5,50,0.01,500
"64",1e-05,10000,0.1,0.15,0.5,50,0.202,500
"65",1e-04,10000,1,0.15,0.5,50,0.882,500
"66",0.001,10000,10,0.15,0.5,50,1,500
"67",1e-07,10000,0.001,0.15,0.5,200,0.002,500
"68",1e-06,10000,0.01,0.15,0.5,200,0.009,500
"69",1e-05,10000,0.1,0.15,0.5,200,0.252,500
"70",1e-04,10000,1,0.15,0.5,200,0.967,500
"71",0.001,10000,10,0.15,0.5,200,0.974,500
