"","mu","N","theta","c","comp","n","probWTWin"
"2",1e-08,10000,1e-04,0.1,0.1,25,0.0219112421805772
"3",1.25892541179417e-08,10000,0.000125892541179417,0.1,0.1,25,0.0275021585279436
"4",1.58489319246111e-08,10000,0.000158489319246111,0.1,0.1,25,0.0344930980079378
"5",1.99526231496888e-08,10000,0.000199526231496888,0.1,0.1,25,0.0432193291928205
"6",2.51188643150958e-08,10000,0.000251188643150958,0.1,0.1,25,0.0540876020305815
"7",3.16227766016838e-08,10000,0.000316227766016838,0.1,0.1,25,0.0675862616415878
"8",3.98107170553497e-08,10000,0.000398107170553497,0.1,0.1,25,0.0842936326604362
"9",5.01187233627272e-08,10000,0.000501187233627273,0.1,0.1,25,0.104882160342576
"10",6.30957344480193e-08,10000,0.000630957344480193,0.1,0.1,25,0.130114448771091
"11",7.94328234724282e-08,10000,0.000794328234724282,0.1,0.1,25,0.160825478012533
"12",1e-07,10000,0.001,0.1,0.1,25,0.197883222171021
"13",1.25892541179417e-07,10000,0.00125892541179417,0.1,0.1,25,0.242117886816591
"14",1.58489319246111e-07,10000,0.00158489319246111,0.1,0.1,25,0.294209220827821
"15",1.99526231496888e-07,10000,0.00199526231496888,0.1,0.1,25,0.354523612016349
"16",2.51188643150958e-07,10000,0.00251188643150958,0.1,0.1,25,0.422900949314636
"17",3.16227766016838e-07,10000,0.00316227766016838,0.1,0.1,25,0.498409181271086
"18",3.98107170553497e-07,10000,0.00398107170553497,0.1,0.1,25,0.560856860791568
"19",5.01187233627272e-07,10000,0.00501187233627272,0.1,0.1,25,0.604473759242748
"20",6.30957344480193e-07,10000,0.00630957344480193,0.1,0.1,25,0.6523635584101
"21",7.94328234724282e-07,10000,0.00794328234724282,0.1,0.1,25,0.703845779790546
"22",1e-06,10000,0.01,0.1,0.1,25,0.756210252684484
"23",1.25892541179417e-06,10000,0.0125892541179417,0.1,0.1,25,0.807963001294042
"24",1.58489319246111e-06,10000,0.0158489319246111,0.1,0.1,25,0.856543012512381
"25",1.99526231496888e-06,10000,0.0199526231496888,0.1,0.1,25,0.898807802180279
"26",2.51188643150958e-06,10000,0.0251188643150958,0.1,0.1,25,0.933948150763499
"27",3.16227766016838e-06,10000,0.0316227766016838,0.1,0.1,25,0.960223372258561
"28",3.98107170553497e-06,10000,0.0398107170553497,0.1,0.1,25,0.978278160173722
"29",5.01187233627272e-06,10000,0.0501187233627272,0.1,0.1,25,0.989479340324434
"30",6.30957344480194e-06,10000,0.0630957344480194,0.1,0.1,25,0.995548365254867
"31",7.94328234724282e-06,10000,0.0794328234724282,0.1,0.1,25,0.99837089205973
"32",1e-05,10000,0.1,0.1,0.1,25,0.999495386215275
"33",1.25892541179417e-05,10000,0.125892541179417,0.1,0.1,25,0.999870940006015
"34",1.58489319246111e-05,10000,0.158489319246111,0.1,0.1,25,0.99997351542581
"35",1.99526231496888e-05,10000,0.199526231496888,0.1,0.1,25,0.999995783611743
"36",2.51188643150958e-05,10000,0.251188643150958,0.1,0.1,25,0.999999471097914
"37",3.16227766016838e-05,10000,0.316227766016838,0.1,0.1,25,0.999999951567389
"38",3.98107170553497e-05,10000,0.398107170553497,0.1,0.1,25,0.999999996639481
"39",5.01187233627273e-05,10000,0.501187233627272,0.1,0.1,25,0.999999999822891
"40",6.30957344480194e-05,10000,0.630957344480194,0.1,0.1,25,0.999999999992801
"41",7.94328234724282e-05,10000,0.794328234724282,0.1,0.1,25,0.999999999999767
"42",1e-04,10000,1,0.1,0.1,25,0.999999999999995
"43",0.000125892541179417,10000,1.25892541179417,0.1,0.1,25,1
"44",0.000158489319246111,10000,1.58489319246111,0.1,0.1,25,1
"45",0.000199526231496888,10000,1.99526231496888,0.1,0.1,25,1
"46",0.000251188643150958,10000,2.51188643150958,0.1,0.1,25,1
"47",0.000316227766016838,10000,3.16227766016838,0.1,0.1,25,1
"48",0.000398107170553498,10000,3.98107170553498,0.1,0.1,25,1
"49",0.000501187233627273,10000,5.01187233627273,0.1,0.1,25,1
"50",0.000630957344480194,10000,6.30957344480194,0.1,0.1,25,1
"51",0.000794328234724282,10000,7.94328234724282,0.1,0.1,25,1
"52",0.001,10000,10,0.1,0.1,25,1
"53",1e-08,10000,1e-04,0.1,0.2,25,0.019771656209157
"54",1.25892541179417e-08,10000,0.000125892541179417,0.1,0.2,25,0.0247982979850444
"55",1.58489319246111e-08,10000,0.000158489319246111,0.1,0.2,25,0.0310742919636113
"56",1.99526231496888e-08,10000,0.000199526231496888,0.1,0.2,25,0.0388944839391829
"57",2.51188643150958e-08,10000,0.000251188643150958,0.1,0.2,25,0.0486149322164018
"58",3.16227766016838e-08,10000,0.000316227766016838,0.1,0.2,25,0.0606612174131783
"59",3.98107170553497e-08,10000,0.000398107170553497,0.1,0.2,25,0.0755354864384353
"60",5.01187233627272e-08,10000,0.000501187233627273,0.1,0.2,25,0.093820521528218
"61",6.30957344480193e-08,10000,0.000630957344480193,0.1,0.2,25,0.116178308854538
"62",7.94328234724282e-08,10000,0.000794328234724282,0.1,0.2,25,0.14333939996301
"63",1e-07,10000,0.001,0.1,0.2,25,0.176078012603858
"64",1.25892541179417e-07,10000,0.00125892541179417,0.1,0.2,25,0.215166272886636
"65",1.58489319246111e-07,10000,0.00158489319246111,0.1,0.2,25,0.261299853620863
"66",1.99526231496888e-07,10000,0.00199526231496888,0.1,0.2,25,0.299941741494667
"67",2.51188643150958e-07,10000,0.00251188643150958,0.1,0.2,25,0.324957328689995
"68",3.16227766016838e-07,10000,0.00316227766016838,0.1,0.2,25,0.354682967042737
"69",3.98107170553497e-07,10000,0.00398107170553497,0.1,0.2,25,0.38860939344487
"70",5.01187233627272e-07,10000,0.00501187233627272,0.1,0.2,25,0.428033670138289
"71",6.30957344480193e-07,10000,0.00630957344480193,0.1,0.2,25,0.472187923396897
"72",7.94328234724282e-07,10000,0.00794328234724282,0.1,0.2,25,0.520667664174618
"73",1e-06,10000,0.01,0.1,0.2,25,0.57420150009241
"74",1.25892541179417e-06,10000,0.0125892541179417,0.1,0.2,25,0.630235538163221
"75",1.58489319246111e-06,10000,0.0158489319246111,0.1,0.2,25,0.689281582900468
"76",1.99526231496888e-06,10000,0.0199526231496888,0.1,0.2,25,0.747045523984445
"77",2.51188643150958e-06,10000,0.0251188643150958,0.1,0.2,25,0.803000816803255
"78",3.16227766016838e-06,10000,0.0316227766016838,0.1,0.2,25,0.853153315938574
"79",3.98107170553497e-06,10000,0.0398107170553497,0.1,0.2,25,0.897863854007233
"80",5.01187233627272e-06,10000,0.0501187233627272,0.1,0.2,25,0.933029415114783
"81",6.30957344480194e-06,10000,0.0630957344480194,0.1,0.2,25,0.959434956889487
"82",7.94328234724282e-06,10000,0.0794328234724282,0.1,0.2,25,0.977675102509156
"83",1e-05,10000,0.1,0.1,0.2,25,0.989067026506339
"84",1.25892541179417e-05,10000,0.125892541179417,0.1,0.2,25,0.995228936493508
"85",1.58489319246111e-05,10000,0.158489319246111,0.1,0.2,25,0.998231049813263
"86",1.99526231496888e-05,10000,0.199526231496888,0.1,0.2,25,0.999439698265375
"87",2.51188643150958e-05,10000,0.251188643150958,0.1,0.2,25,0.999850861780358
"88",3.16227766016838e-05,10000,0.316227766016838,0.1,0.2,25,0.999967142128448
"89",3.98107170553497e-05,10000,0.398107170553497,0.1,0.2,25,0.999994081924084
"90",5.01187233627273e-05,10000,0.501187233627272,0.1,0.2,25,0.999999226505268
"91",6.30957344480194e-05,10000,0.630957344480194,0.1,0.2,25,0.999999911003268
"92",7.94328234724282e-05,10000,0.794328234724282,0.1,0.2,25,0.999999993029198
"93",1e-04,10000,1,0.1,0.2,25,0.999999999586523
"94",0.000125892541179417,10000,1.25892541179417,0.1,0.2,25,0.999999999981357
"95",0.000158489319246111,10000,1.58489319246111,0.1,0.2,25,0.999999999999352
"96",0.000199526231496888,10000,1.99526231496888,0.1,0.2,25,0.999999999999982
"97",0.000251188643150958,10000,2.51188643150958,0.1,0.2,25,1
"98",0.000316227766016838,10000,3.16227766016838,0.1,0.2,25,1
"99",0.000398107170553498,10000,3.98107170553498,0.1,0.2,25,1
"100",0.000501187233627273,10000,5.01187233627273,0.1,0.2,25,1
"101",0.000630957344480194,10000,6.30957344480194,0.1,0.2,25,1
"102",0.000794328234724282,10000,7.94328234724282,0.1,0.2,25,1
"103",0.001,10000,10,0.1,0.2,25,1
"104",1e-08,10000,1e-04,0.1,0.5,25,0.0145385522645183
"105",1.25892541179417e-08,10000,0.000125892541179417,0.1,0.5,25,0.0182627496742813
"106",1.58489319246111e-08,10000,0.000158489319246111,0.1,0.5,25,0.0229280636183242
"107",1.99526231496888e-08,10000,0.000199526231496888,0.1,0.5,25,0.0287649476906024
"108",2.51188643150958e-08,10000,0.000251188643150958,0.1,0.5,25,0.036056103809514
"109",3.16227766016838e-08,10000,0.000316227766016838,0.1,0.5,25,0.0451459506285783
"110",3.98107170553497e-08,10000,0.000398107170553497,0.1,0.5,25,0.0564504395910153
"111",5.01187233627272e-08,10000,0.000501187233627273,0.1,0.5,25,0.0704662659038444
"112",6.30957344480193e-08,10000,0.000630957344480193,0.1,0.5,25,0.0877779047172922
"113",7.94328234724282e-08,10000,0.000794328234724282,0.1,0.5,25,0.101637636251701
"114",1e-07,10000,0.001,0.1,0.5,25,0.107738746932123
"115",1.25892541179417e-07,10000,0.00125892541179417,0.1,0.5,25,0.115215280792921
"116",1.58489319246111e-07,10000,0.00158489319246111,0.1,0.5,25,0.124310713725258
"117",1.99526231496888e-07,10000,0.00199526231496888,0.1,0.5,25,0.1353553288013
"118",2.51188643150958e-07,10000,0.00251188643150958,0.1,0.5,25,0.148919747447025
"119",3.16227766016838e-07,10000,0.00316227766016838,0.1,0.5,25,0.165522879434463
"120",3.98107170553497e-07,10000,0.00398107170553497,0.1,0.5,25,0.184747111902155
"121",5.01187233627272e-07,10000,0.00501187233627272,0.1,0.5,25,0.208586607522523
"122",6.30957344480193e-07,10000,0.00630957344480193,0.1,0.5,25,0.236011915491857
"123",7.94328234724282e-07,10000,0.00794328234724282,0.1,0.5,25,0.268030140132919
"124",1e-06,10000,0.01,0.1,0.5,25,0.305976309057568
"125",1.25892541179417e-06,10000,0.0125892541179417,0.1,0.5,25,0.349700945586969
"126",1.58489319246111e-06,10000,0.0158489319246111,0.1,0.5,25,0.398119765245848
"127",1.99526231496888e-06,10000,0.0199526231496888,0.1,0.5,25,0.451333754854784
"128",2.51188643150958e-06,10000,0.0251188643150958,0.1,0.5,25,0.509258552220427
"129",3.16227766016838e-06,10000,0.0316227766016838,0.1,0.5,25,0.571508711277928
"130",3.98107170553497e-06,10000,0.0398107170553497,0.1,0.5,25,0.637238234778598
"131",5.01187233627272e-06,10000,0.0501187233627272,0.1,0.5,25,0.701643563805563
"132",6.30957344480194e-06,10000,0.0630957344480194,0.1,0.5,25,0.765832665338341
"133",7.94328234724282e-06,10000,0.0794328234724282,0.1,0.5,25,0.824113646821032
"134",1e-05,10000,0.1,0.1,0.5,25,0.874399141834724
"135",1.25892541179417e-05,10000,0.125892541179417,0.1,0.5,25,0.915330401770382
"136",1.58489319246111e-05,10000,0.158489319246111,0.1,0.5,25,0.946518216316022
"137",1.99526231496888e-05,10000,0.199526231496888,0.1,0.5,25,0.969945801624679
"138",2.51188643150958e-05,10000,0.251188643150958,0.1,0.5,25,0.983885047687656
"139",3.16227766016838e-05,10000,0.316227766016838,0.1,0.5,25,0.992631453992795
"140",3.98107170553497e-05,10000,0.398107170553497,0.1,0.5,25,0.997043251153019
"141",5.01187233627273e-05,10000,0.501187233627272,0.1,0.5,25,0.998975881000587
"142",6.30957344480194e-05,10000,0.630957344480194,0.1,0.5,25,0.999698966141239
"143",7.94328234724282e-05,10000,0.794328234724282,0.1,0.5,25,0.99992616121114
"144",1e-04,10000,1,0.1,0.5,25,0.999985126398833
"145",0.000125892541179417,10000,1.25892541179417,0.1,0.5,25,0.999997574087353
"146",0.000158489319246111,10000,1.58489319246111,0.1,0.5,25,0.99999968315464
"147",0.000199526231496888,10000,1.99526231496888,0.1,0.5,25,0.999999967082571
"148",0.000251188643150958,10000,2.51188643150958,0.1,0.5,25,0.99999999728208
"149",0.000316227766016838,10000,3.16227766016838,0.1,0.5,25,0.999999999820509
"150",0.000398107170553498,10000,3.98107170553498,0.1,0.5,25,0.999999999990379
"151",0.000501187233627273,10000,5.01187233627273,0.1,0.5,25,0.999999999999571
"152",0.000630957344480194,10000,6.30957344480194,0.1,0.5,25,0.999999999999984
"153",0.000794328234724282,10000,7.94328234724282,0.1,0.5,25,0.999999999999999
"154",0.001,10000,10,0.1,0.5,25,1
"155",1e-08,10000,1e-04,0.1,0.8,25,0.0131863296865942
"156",1.25892541179417e-08,10000,0.000125892541179417,0.1,0.8,25,0.0165698951593062
"157",1.58489319246111e-08,10000,0.000158489319246111,0.1,0.8,25,0.0208117619526594
"158",1.99526231496888e-08,10000,0.000199526231496888,0.1,0.8,25,0.0261239293565924
"159",2.51188643150958e-08,10000,0.000251188643150958,0.1,0.8,25,0.0327674676509584
"160",3.16227766016838e-08,10000,0.000316227766016838,0.1,0.8,25,0.0410619701247384
"161",3.98107170553497e-08,10000,0.000398107170553497,0.1,0.8,25,0.0513957113506562
"162",5.01187233627272e-08,10000,0.000501187233627273,0.1,0.8,25,0.0589054020851537
"163",6.30957344480193e-08,10000,0.000630957344480193,0.1,0.8,25,0.0615071389746479
"164",7.94328234724282e-08,10000,0.000794328234724282,0.1,0.8,25,0.0645944183660342
"165",1e-07,10000,0.001,0.1,0.8,25,0.0685898118802909
"166",1.25892541179417e-07,10000,0.00125892541179417,0.1,0.8,25,0.0735573757084246
"167",1.58489319246111e-07,10000,0.00158489319246111,0.1,0.8,25,0.0795419975360043
"168",1.99526231496888e-07,10000,0.00199526231496888,0.1,0.8,25,0.0870616131589477
"169",2.51188643150958e-07,10000,0.00251188643150958,0.1,0.8,25,0.0962933742691967
"170",3.16227766016838e-07,10000,0.00316227766016838,0.1,0.8,25,0.107095713490157
"171",3.98107170553497e-07,10000,0.00398107170553497,0.1,0.8,25,0.121050112573863
"172",5.01187233627272e-07,10000,0.00501187233627272,0.1,0.8,25,0.13704883139294
"173",6.30957344480193e-07,10000,0.00630957344480193,0.1,0.8,25,0.156862457294459
"174",7.94328234724282e-07,10000,0.00794328234724282,0.1,0.8,25,0.179230965564907
"175",1e-06,10000,0.01,0.1,0.8,25,0.208052707132011
"176",1.25892541179417e-06,10000,0.0125892541179417,0.1,0.8,25,0.239624903973864
"177",1.58489319246111e-06,10000,0.0158489319246111,0.1,0.8,25,0.276175248921186
"178",1.99526231496888e-06,10000,0.0199526231496888,0.1,0.8,25,0.318624123444669
"179",2.51188643150958e-06,10000,0.0251188643150958,0.1,0.8,25,0.367990437690563
"180",3.16227766016838e-06,10000,0.0316227766016838,0.1,0.8,25,0.42121743410967
"181",3.98107170553497e-06,10000,0.0398107170553497,0.1,0.8,25,0.482100535898951
"182",5.01187233627272e-06,10000,0.0501187233627272,0.1,0.8,25,0.545942921151736
"183",6.30957344480194e-06,10000,0.0630957344480194,0.1,0.8,25,0.611174484559351
"184",7.94328234724282e-06,10000,0.0794328234724282,0.1,0.8,25,0.675877583833953
"185",1e-05,10000,0.1,0.1,0.8,25,0.737928218715035
"186",1.25892541179417e-05,10000,0.125892541179417,0.1,0.8,25,0.80086240776828
"187",1.58489319246111e-05,10000,0.158489319246111,0.1,0.8,25,0.851225993744491
"188",1.99526231496888e-05,10000,0.199526231496888,0.1,0.8,25,0.898115758753409
"189",2.51188643150958e-05,10000,0.251188643150958,0.1,0.8,25,0.934842586855263
"190",3.16227766016838e-05,10000,0.316227766016838,0.1,0.8,25,0.961490097322
"191",3.98107170553497e-05,10000,0.398107170553497,0.1,0.8,25,0.979204020264704
"192",5.01187233627273e-05,10000,0.501187233627272,0.1,0.8,25,0.989864429966063
"193",6.30957344480194e-05,10000,0.630957344480194,0.1,0.8,25,0.995599115657507
"194",7.94328234724282e-05,10000,0.794328234724282,0.1,0.8,25,0.998320272388541
"195",1e-04,10000,1,0.1,0.8,25,0.999443929081467
"196",0.000125892541179417,10000,1.25892541179417,0.1,0.8,25,0.99984237025907
"197",0.000158489319246111,10000,1.58489319246111,0.1,0.8,25,0.999962179548214
"198",0.000199526231496888,10000,1.99526231496888,0.1,0.8,25,0.999992392183417
"199",0.000251188643150958,10000,2.51188643150958,0.1,0.8,25,0.99999872529243
"200",0.000316227766016838,10000,3.16227766016838,0.1,0.8,25,0.999999822544872
"201",0.000398107170553498,10000,3.98107170553498,0.1,0.8,25,0.999999979424473
"202",0.000501187233627273,10000,5.01187233627273,0.1,0.8,25,0.999999997996778
"203",0.000630957344480194,10000,6.30957344480194,0.1,0.8,25,0.999999999833889
"204",0.000794328234724282,10000,7.94328234724282,0.1,0.8,25,0.99999999998803
"205",0.001,10000,10,0.1,0.8,25,0.999999999999231
"206",1e-08,10000,1e-04,0.1,0.1,50,0.0218995902913715
"207",1.25892541179417e-08,10000,0.000125892541179417,0.1,0.1,50,0.0274838392295957
"208",1.58489319246111e-08,10000,0.000158489319246111,0.1,0.1,50,0.0344643555848746
"209",1.99526231496888e-08,10000,0.000199526231496888,0.1,0.1,50,0.0431743501535431
"210",2.51188643150958e-08,10000,0.000251188643150958,0.1,0.1,50,0.0540174433765619
"211",3.16227766016838e-08,10000,0.000316227766016838,0.1,0.1,50,0.0674772739731325
"212",3.98107170553497e-08,10000,0.000398107170553497,0.1,0.1,50,0.0841251909676404
"213",5.01187233627272e-08,10000,0.000501187233627273,0.1,0.1,50,0.104623494694685
"214",6.30957344480193e-08,10000,0.000630957344480193,0.1,0.1,50,0.129720399869293
"215",7.94328234724282e-08,10000,0.000794328234724282,0.1,0.1,50,0.160231154511071
"216",1e-07,10000,0.001,0.1,0.1,50,0.196997914243036
"217",1.25892541179417e-07,10000,0.00125892541179417,0.1,0.1,50,0.240819340302406
