"","mu","N","theta","c","comp","n","probWTWin"
"1",0,0,0,0,0,0,0
"2",1e-07,10000,0.001,0.1,0.1,100,0.078
"3",1e-06,10000,0.01,0.1,0.1,100,0.545
"4",1e-05,10000,0.1,0.1,0.1,100,0.974
"5",1e-04,10000,1,0.1,0.1,100,1
"6",0.001,10000,10,0.1,0.1,100,1
"7",1e-07,10000,0.001,0.1,0.2,100,0.078
"8",1e-06,10000,0.01,0.1,0.2,100,0.387
"9",1e-05,10000,0.1,0.1,0.2,100,0.943
"10",1e-04,10000,1,0.1,0.2,100,0.999
"11",0.001,10000,10,0.1,0.2,100,1
"12",1e-07,10000,0.001,0.1,0.5,100,0.037
"13",1e-06,10000,0.01,0.1,0.5,100,0.217
"14",1e-05,10000,0.1,0.1,0.5,100,0.713
"15",1e-04,10000,1,0.1,0.5,100,0.993
"16",0.001,10000,10,0.1,0.5,100,1
"17",1e-07,10000,0.001,0.1,0.8,100,0.023
"18",1e-06,10000,0.01,0.1,0.8,100,0.126
"19",1e-05,10000,0.1,0.1,0.8,100,0.5
"20",1e-04,10000,1,0.1,0.8,100,0.909
"21",0.001,10000,10,0.1,0.8,100,0.987
"22",1e-07,10000,0.001,0.1,0.8,25,0.043
"23",1e-06,10000,0.01,0.1,0.8,25,0.169
"24",1e-05,10000,0.1,0.1,0.8,25,0.621
"25",1e-04,10000,1,0.1,0.8,25,0.99
"26",0.001,10000,10,0.1,0.8,25,1
"27",1e-07,10000,0.001,0.1,0.8,50,0.035
"28",1e-06,10000,0.01,0.1,0.8,50,0.134
"29",1e-05,10000,0.1,0.1,0.8,50,0.559
"30",1e-04,10000,1,0.1,0.8,50,0.971
"31",0.001,10000,10,0.1,0.8,50,0.999
"32",1e-07,10000,0.001,0.1,0.8,200,0.026
"33",1e-06,10000,0.01,0.1,0.8,200,0.098
"34",1e-05,10000,0.1,0.1,0.8,200,0.418
"35",1e-04,10000,1,0.1,0.8,200,0.748
"36",0.001,10000,10,0.1,0.8,200,0.885
"37",1e-07,10000,0.001,0.1,0.5,25,0.066
"38",1e-06,10000,0.01,0.1,0.5,25,0.235
"39",1e-05,10000,0.1,0.1,0.5,25,0.827
"40",1e-04,10000,1,0.1,0.5,25,1
"41",0.001,10000,10,0.1,0.5,25,1
"42",1e-07,10000,0.001,0.1,0.5,50,0.054
"43",1e-06,10000,0.01,0.1,0.5,50,0.221
"44",1e-05,10000,0.1,0.1,0.5,50,0.781
"45",1e-04,10000,1,0.1,0.5,50,0.999
"46",0.001,10000,10,0.1,0.5,50,1
"47",1e-07,10000,0.001,0.1,0.5,200,0.03
"48",1e-06,10000,0.01,0.1,0.5,200,0.16
"49",1e-05,10000,0.1,0.1,0.5,200,0.645
"50",1e-04,10000,1,0.1,0.5,200,0.963
"51",0.001,10000,10,0.1,0.5,200,0.992
