"Gen","WT","Res","comp1","comp2","comp3","comp4","comp5","comp6","comp7","comp8","comp9","comp10","comp11","comp12","comp13","comp14","comp15","comp16","comp17","comp18","comp19","comp20","comp21","comp22","comp23","comp24","comp25","comp26","comp27","comp28","comp29","comp30","comp31","comp32","comp33","comp34","comp35","comp36","comp37","comp38","comp39","comp40","comp41","comp42","comp43","comp44","comp45","comp46","comp47","comp48","comp49","comp50","comp51","comp52","comp53","comp54","comp55","comp56","comp57","comp58","comp59","comp60","comp61","comp62","comp63","comp64","comp65","comp66","comp67","comp68","comp69","comp70","comp71","comp72","comp73","comp74","comp75","comp76","comp77","comp78","comp79","comp80","comp81","comp82","comp83","comp84","comp85","comp86","comp87","comp88","comp89","comp90","comp91","comp92","comp93","comp94","comp95","comp96","comp97","comp98","comp99","comp100","CR","sum"
1,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,9914,1,1,2,1,1,0,1,1,0,1,2,1,0,0,2,1,1,2,0,1,1,1,1,3,0,1,2,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,3,1,1,1,2,0,1,1,1,2,2,3,1,1,0,0,0,3,0,0,0,0,3,0,0,2,2,0,2,0,0,0,2,2,2,0,0,2,0,0,0,0,2,0,2,3,0,0,0,85
3,3,9821,2,1,2,3,1,1,1,4,1,5,5,0,3,0,6,0,5,1,0,3,1,2,0,6,3,1,2,2,2,0,1,1,0,1,0,3,0,2,1,0,0,2,0,1,1,1,0,0,1,1,1,0,2,1,6,3,3,0,1,2,3,2,4,1,3,5,1,3,2,4,1,0,0,4,3,1,0,6,4,2,2,0,1,1,1,5,1,1,1,5,2,0,0,0,1,0,5,2,1,0,0,176
4,1,9720,1,1,6,3,2,5,2,10,1,2,4,0,7,0,7,2,3,1,2,6,1,2,0,5,7,1,3,4,4,0,4,0,3,1,0,3,0,3,2,0,4,3,1,2,4,1,1,1,2,3,3,1,6,1,8,4,7,1,2,0,8,2,3,2,7,5,0,4,2,5,2,1,1,6,4,0,0,5,5,3,6,0,4,1,0,9,1,4,0,4,2,0,1,1,2,2,3,7,3,1,0,279
5,3,9637,1,0,11,4,3,5,2,5,3,4,6,2,10,0,8,6,1,2,7,4,2,6,2,7,8,0,2,4,7,1,5,1,3,4,0,4,2,5,1,2,3,6,1,4,3,1,4,3,3,5,5,1,6,1,5,4,1,2,2,0,7,3,2,4,11,4,1,5,5,10,4,3,1,5,6,0,0,4,4,4,6,0,3,4,1,12,2,4,0,6,1,1,2,1,4,3,2,5,8,2,0,360
6,4,9574,1,0,6,6,7,5,3,2,6,5,8,5,13,0,6,5,3,2,4,3,1,4,5,13,10,0,1,6,7,1,5,1,3,2,0,6,2,1,2,2,5,14,2,4,4,3,3,5,3,3,4,5,2,1,8,5,0,4,4,0,9,2,4,2,13,5,0,4,6,14,9,5,0,5,6,1,0,7,6,3,7,1,3,5,2,14,1,10,1,5,2,2,3,1,4,2,4,3,4,6,0,422
7,5,9499,2,0,5,5,5,2,5,3,9,9,12,6,14,2,5,8,3,3,2,3,0,4,8,5,13,0,2,4,3,2,11,0,3,3,3,6,1,1,7,2,5,20,3,6,4,4,7,3,6,4,3,6,5,1,7,6,0,3,5,0,8,2,7,2,17,5,0,2,7,16,8,4,0,6,6,3,2,5,5,2,9,1,3,3,2,21,2,13,0,8,2,3,2,2,10,3,5,7,6,8,0,496
8,9,9343,6,1,11,11,1,4,5,5,15,10,12,5,13,4,7,12,6,3,1,5,1,2,9,4,17,1,3,3,2,4,15,2,5,3,5,4,1,0,10,1,4,24,5,8,6,4,8,5,4,5,4,5,8,2,12,5,1,8,9,2,10,6,12,3,20,6,1,4,6,16,10,3,1,7,8,5,4,6,8,5,7,4,5,5,2,22,1,19,2,11,3,2,3,2,15,4,5,12,11,14,0,648
9,8,9270,6,2,9,11,0,5,12,3,20,21,16,6,12,1,9,19,8,0,5,4,1,0,7,5,15,2,5,1,1,4,16,1,7,2,4,6,4,0,8,3,2,23,9,7,8,6,8,4,2,6,6,7,7,3,13,4,2,3,6,2,16,7,14,2,15,6,1,4,7,18,12,1,1,6,13,10,1,8,5,7,10,4,1,12,2,29,2,15,5,12,6,8,2,4,13,4,4,13,14,19,0,722
10,15,9171,12,2,13,8,2,10,12,5,14,13,15,6,15,1,14,22,5,2,8,3,0,1,7,11,19,5,4,1,2,4,13,2,8,5,6,8,9,1,9,2,3,30,12,6,8,5,8,5,5,8,5,10,9,2,12,11,1,4,8,1,22,9,11,2,12,10,1,5,7,11,10,2,0,4,17,8,2,6,4,7,13,6,3,7,7,24,3,17,4,17,14,16,5,7,8,3,6,19,15,18,0,814
